1Minute	1	1Day
2Minutes	2	1Day
3Minutes	3	1Day
4Minutes	4	1Day
5Minutes	5	1Day
6Minutes	6	1Day
8Minutes	8	1Day
10Minutes	10	1Day
12Minutes	12	1Day
15Minutes	15	1Month
20Minutes	20	1Month
30Minutes	30	1Month
1Hour	60	1Month
2Hours	120	1Month
3Hours	180	1Month
4Hours	240	1Month
6Hours	360	1Month
8Hours	480	1Month
12Hours	720	1Month
1Day	1440	1Year
2Days	2880	1Year
3Days	4320	1Year
4Days	5760	1Year
5Days	7200	1Year
6Days	8640	1Year
1Week	10080	1Decade
1Month	43200	1Decade
1Year	525600	1Century
1Decade	5256000	1Century
1MinuteLocal	1	1Day
2MinutesLocal	2	1Day
3MinutesLocal	3	1Day
4MinutesLocal	4	1Day
5MinutesLocal	5	1Day
6MinutesLocal	6	1Day
8MinutesLocal	8	1Day
10MinutesLocal	10	1Day
12MinutesLocal	12	1Day
15MinutesLocal	15	1Month
20MinutesLocal	20	1Month
30MinutesLocal	30	1Month
1HourLocal	60	1Month
2HoursLocal	120	1Month
3HoursLocal	180	1Month
4HoursLocal	240	1Month
6HoursLocal	360	1Month
8HoursLocal	480	1Month
12HoursLocal	720	1Month
1DayLocal	1440	1Year
2DaysLocal	2880	1Year
3DaysLocal	4320	1Year
4DaysLocal	5760	1Year
5DaysLocal	7200	1Year
6DaysLocal	8640	1Year
1WeekLocal	10080	1Decade
1MonthLocal	43200	1Decade
1YearLocal	525600	1Century
1DecadeLocal	5256000	1Century
0	0	1Month
~1Minute	0	1Day
~2Minutes	0	1Day
~3Minutes	0	1Day
~4Minutes	0	1Day
~5Minutes	0	1Day
~6Minutes	0	1Day
~8Minutes	0	1Day
~10Minutes	0	1Day
~12Minutes	0	1Day
~15Minutes	0	1Month
~20Minutes	0	1Month
~30Minutes	0	1Month
~1Hour	0	1Month
~2Hours	0	1Month
~3Hours	0	1Month
~4Hours	0	1Month
~6Hours	0	1Month
~8Hours	0	1Month
~12Hours	0	1Month
~1Day	0	1Year
~2Days	0	1Year
~3Days	0	1Year
~4Days	0	1Year
~5Days	0	1Year
~6Days	0	1Year
~1Week	0	1Decade
~1Month	0	1Decade
~1Year	0	1Century
~1Decade	0	1Century
IR-Day	0	1Day
IR-Month	0	1Month
IR-Year	0	1Year
IR-Decade	0	1Decade
IR-Century	0	1Century
