1000 cu m	1000 m3
1000 sq m	1000 m2
1000 sq meters	1000 m2
1000000 m3	mcm
acft	ac-ft
acre-feet	ac-ft
acre-ft	ac-ft
acres	acre
amp	ampere
amperes	ampere
amps	ampere
B_UNIT	B
B-UNIT	B
calorie	cal
calories	cal
celsius	C
Centigrade	C
centimeter	cm
centimeters	cm
cu ft	ft3
cu m	m3
cu meter	m3
cu meters	m3
cu mile	mile3
cu miles	mile3
cuft/sec	cfs
cu-ft/sec	cfs
cu-meters/sec	cms
cycles/s	Hz
cycles/sec	Hz
deg c	C
deg f	F
deg-C	C
degc	C
degf	F
deg-f	F
fahrenheit	F
feet	ft
foot	ft
fps	ft/s
ft/sec	ft/s
ft^3/s	cfs
ft3/s	cfs
ft3/sec	cfs
g/cm3	gm/cm3
gal/min	gpm
gallon	gal
gallons per minute	gpm
gallons	gal
gm	g
gm/l	g/l
gm/m3	g/m3
grams per liter	g/l
grams/liter	g/l
hectare	ha
hectares	ha
hour	hr
hours	hr
inch	in
inches	in
joule	J
joules	J
m3/s	cms
m3/sec	cms
megajoule	MJ
megajoules	MJ
meter	m
meters per second	m/s
meters	m
metre	m
metres	m
mi2	mile2
micrograms	ug
micrograms/l	ug/l
mile	mi
miles per hour	mph
miles	mi
millgrams/liter	mg/l
milligrams per liter	mg/l
millimeter	mm
millimeters	mm
million gallon	mgal
millon gallons	mgal
minute	min
minutes	min
mps	m/s
newton	N
newtons	N
percent	%
rev/min	rpm
revolutions per minute	rpm
second	sec
seconds	sec
sfd	dsf
sq ft	ft2
sq m	m2
sq meter	m2
sq meters	m2
sq mi	mile2
sq mile	mile2
sq miles	mile2
square feet	ft2
square meters	m2
square miles	mile2
survey feet	ftUS
survey foot	ftUS
umhos/cm	umho/cm
volts	volt
